,Tipo,Distrito,Cuartos,Vacantes,Suites,Area,Valor,Mantenimiento,Impuesto
0,Local comercial,Ate,0,4,0,150,5200.0,4020.0,1111.0
1,Local comercial,Pachacámac,0,3,0,695,35000.0,19193.0,3030.0
2,Local comercial,Punta Negra,0,1,0,25,1100.0,600.0,
3,Tienda/Salón,Lince,0,1,0,35,1300.0,950.0,
4,Local comercial,Ate,0,1,0,22,700.0,,
5,Local comercial,Pachacámac,0,5,0,1306,117540.0,19486.0,
6,Local comercial,Jesús María,0,1,0,50,1500.0,250.0,
7,Local comercial,Pachacámac,0,0,0,460,7500.0,4797.0,2019.0
8,Local comercial,Pachacámac,0,0,0,1170,140456.0,23409.0,5852.0
9,Local comercial,Pachacámac,0,1,0,70,1900.0,1080.0,251.0
10,Local comercial,Lurigancho,0,1,0,50,4000.0,1160.0,200.0
11,Tienda/Salón,San Borja,0,0,0,34,2000.0,735.0,
12,Local comercial,Jesús María,0,0,0,84,1500.0,1546.0,
13,Local comercial,Santa Anita,0,0,0,32,700.0,380.0,56.0
14,Local comercial,Pachacámac,0,0,0,1,2850.0,2050.0,
15,Local comercial,Ate,0,1,0,33,700.0,1010.0,56.0
16,Local comercial,Lurigancho,0,1,0,24,2500.0,682.0,112.0
17,Almacén,Villa El Salvador,0,6,0,2236,40000.0,,
18,Local comercial,Ate,0,1,0,32,850.0,719.0,
19,Casa comercial,Chorrillos,0,0,0,140,7000.0,,137.0
20,Almacén,San Miguel,0,3,0,1000,9800.0,,820.0
21,Local comercial,Pachacámac,0,1,0,390,25397.0,12090.0,1318.0
22,Local comercial,Pachacámac,0,0,0,320,12000.0,3740.0,1541.0
23,Tienda/Salón,Ate,0,0,0,36,5300.0,2114.0,839.0
24,Local comercial,Pachacámac,0,0,0,95,3800.0,1688.0,392.0
25,Local comercial,Pachacámac,0,0,0,310,17050.0,5950.0,1917.0
26,Local comercial,Ate,0,4,0,145,9000.0,6400.0,
27,Local comercial,Ate,0,2,0,142,4000.0,5024.0,12415.0
28,Local comercial,Chorrillos,0,3,0,241,22000.0,9384.0,
29,Almacén,Chaclacayo,0,10,0,13010,100000.0,,12000.0
30,Local comercial,Pachacámac,0,0,0,40,1500.0,637.0,84.0
31,Local comercial,Pachacámac,0,0,0,48,1400.0,729.0,157.0
32,Local comercial,Puente Piedra,0,64,0,4800,312000.0,92000.0,
33,Local comercial,Punta Negra,0,0,0,30,800.0,592.0,162.0
34,Local comercial,Pachacámac,0,0,0,55,900.0,1240.0,240.0
35,Local comercial,Pachacámac,0,0,0,212,13000.0,4700.0,1350.0
36,Local comercial,Callao,0,0,0,22,490.0,450.0,525.0
37,Local comercial,Ate,0,1,0,20,445.0,791.0,1041.0
38,Almacén,Comas,0,0,0,550,4300.0,,
39,Local comercial,Lince,0,0,0,20,800.0,,
40,Local comercial,Rímac,0,1,0,27,1500.0,580.0,
41,Local comercial,Ate,0,1,0,32,1300.0,935.0,217.0
42,Local comercial,Ate,0,0,0,28,800.0,550.0,
43,Local comercial,Ate,0,1,0,45,1600.0,1100.0,350.0
44,Local comercial,Pachacámac,0,0,0,154,3900.0,5100.0,559.0
45,Local comercial,Ate,0,0,0,21,1200.0,588.0,
46,Local comercial,Callao,0,0,0,22,500.0,600.0,85.0
47,Local comercial,Jesús María,0,1,0,48,2000.0,1064.0,
48,Tienda/Salón,Ate,0,1,0,120,4000.0,1400.0,1500.0
49,Local comercial,Pachacámac,0,0,0,35,1000.0,322.0,33.0
50,Local comercial,San Miguel,0,1,0,20,1000.0,690.0,58.0
51,Tienda/Salón,Ate,0,1,0,50,4500.0,1172.0,1327.0
52,Local comercial,Pachacámac,0,0,0,120,3000.0,1380.0,509.0
53,Local comercial,Jesús María,0,8,0,380,18000.0,5276.0,1851.0
54,Local comercial,Pachacámac,0,0,0,270,7000.0,2800.0,1249.0
55,Local comercial,Ate,0,1,0,24,700.0,628.0,1120.0
56,Local comercial,San Miguel,0,0,0,21,1000.0,520.0,116.0
57,Casa comercial,Chorrillos,0,0,0,220,16000.0,,
58,Tienda/Salón,San Luis,0,0,0,85,6500.0,,385.0
59,Local comercial,Jesús María,0,1,0,58,2100.0,495.0,140.0
60,Local comercial,San Borja,0,2,0,210,25200.0,6300.0,1890.0
61,Local comercial,San Miguel,0,1,0,32,900.0,450.0,
62,Local comercial,Jesús María,0,1,0,24,650.0,530.0,170.0
63,Local comercial,Chorrillos,0,8,0,463,92600.0,11843.0,14355.0
64,Local comercial,Pachacámac,0,0,0,190,4500.0,886.0,
65,Local comercial,Pachacámac,0,0,0,185,3000.0,10046.0,462.0
66,Local comercial,Pachacámac,0,4,0,230,7000.0,3130.0,1202.0
67,Local comercial,Pachacámac,0,0,0,55,1760.0,1420.0,
68,Local comercial,Jesús María,0,1,0,80,2800.0,560.0,
69,Tienda/Salón,San Borja,0,0,0,13,1500.0,520.0,95.0
70,Tienda/Salón,Ate,0,1,0,95,15000.0,1800.0,1000.0
71,Local comercial,Pachacámac,0,0,0,150,4000.0,2000.0,700.0
72,Local comercial,Ate,0,1,0,25,1000.0,450.0,
73,Tienda/Salón,Ate,0,1,0,50,1100.0,1338.0,
74,Tienda/Salón,Ate,0,8,0,500,38000.0,,4971.0
75,Local comercial,Pachacámac,0,0,0,100,2800.0,1500.0,490.0
76,Local comercial,Puente Piedra,0,20,0,2160,129600.0,60480.0,
77,Local comercial,Pachacámac,0,10,0,1136,136370.0,22728.0,5682.0
78,Casa comercial,La Punta,0,0,0,139,16740.0,1953.0,139.0
79,Tienda/Salón,Jesús María,0,2,0,140,3990.0,1410.0,968.0
80,Local comercial,Pachacámac,0,0,0,120,3000.0,1380.0,507.0
81,Tienda/Salón,San Martín de Porres,0,0,0,85,6500.0,,398.0
82,Almacén,Puente Piedra,0,0,0,1096,12000.0,,1771.0
83,Local comercial,Pachacámac,0,0,0,145,3800.0,1400.0,413.0
84,Local comercial,Villa El Salvador,0,0,0,32,1300.0,400.0,
85,Almacén,Chaclacayo,0,3,0,404,15000.0,,370.0
86,Local comercial,Pachacámac,0,0,0,87,3000.0,764.0,134.0
87,Local comercial,Ate,0,9,0,190,10000.0,5503.0,1250.0
88,Local comercial,Rímac,0,0,0,6,900.0,,
89,Local comercial,Pachacámac,0,0,0,375,18750.0,6340.0,2349.0
90,Local comercial,Pachacámac,0,0,0,34,1000.0,729.0,
91,Local comercial,Pachacámac,0,0,0,48,4500.0,885.0,380.0
92,Local comercial,Ate,0,2,0,80,5000.0,1100.0,3000.0
93,Local comercial,Rímac,0,0,0,120,20000.0,2400.0,616.0
94,Almacén,Lince,0,3,0,300,6000.0,,
95,Local comercial,Jesús María,0,1,0,23,900.0,500.0,
96,Almacén,Lince,0,0,0,1000,8000.0,,
97,Local comercial,Pachacámac,0,0,0,22,800.0,264.0,83.0
98,Local comercial,Chorrillos,0,10,0,534,45000.0,14850.0,
99,Tienda/Salón,Ate,0,0,0,30,1100.0,,
100,Local comercial,Ate,0,1,0,72,2200.0,835.0,595.0
101,Local comercial,Ate,0,1,0,50,1600.0,870.0,406.0
102,Local comercial,Chorrillos,0,28,0,1510,211400.0,50902.0,8138.0
103,Local comercial,Pachacámac,0,0,0,254,10000.0,5600.0,
104,Local comercial,Pachacámac,0,0,0,24,600.0,386.0,119.0
105,Local comercial,Pachacámac,0,0,0,250,8000.0,4790.0,1160.0
106,Local comercial,San Martín de Porres,0,1,0,29,1200.0,760.0,
107,Local comercial,Ate,0,1,0,22,750.0,399.0,52.0
108,Local comercial,Puente Piedra,0,0,0,175,5250.0,1750.0,
109,Local comercial,San Miguel,0,0,0,150,7200.0,1700.0,481.0
110,Local comercial,Pachacámac,0,0,0,219,23000.0,5938.0,1303.0
111,Local comercial,Pachacámac,0,0,0,322,8500.0,4315.0,81.0
112,Local comercial,Punta Negra,1,1,0,25,800.0,427.0,471.0
113,Local comercial,Ate,0,4,0,350,16500.0,6030.0,3980.0
114,Local comercial,Pachacámac,0,0,0,360,9000.0,2968.0,1208.0
115,Tienda/Salón,Ate,0,0,0,210,55000.0,,3000.0
116,Local comercial,Jesús María,0,1,0,34,1600.0,732.0,141.0
117,Tienda/Salón,Jesús María,0,1,0,54,1500.0,364.0,173.0
118,Local comercial,Pachacámac,0,18,0,1141,79855.0,22302.0,2977.0
119,Local comercial,San Miguel,0,0,0,29,800.0,1100.0,
120,Local comercial,Chorrillos,0,11,0,705,68000.0,26715.0,4579.0
121,Local comercial,Lince,0,1,0,21,500.0,570.0,
122,Almacén,Punta Negra,0,20,0,1100,16000.0,,2435.0
123,Local comercial,Ate,0,1,0,75,2500.0,1250.0,681.0
124,Local comercial,Pachacámac,0,0,0,90,2800.0,1640.0,270.0
